,target,feature_4,feature_5,feature_7,feature_11,feature_16,feature_19,feature_25,feature_26
0,0,-0.14717807,-1.1355692,-0.68887866,-0.007342922,-0.7783986,-0.78600466,-1.6649811,-1.2730675
1,0,0.08766535,0.31677878,-0.1432024,-0.50783896,0.4475237,-0.21312937,-1.443812,0.09309752
2,0,3.1175199,-1.7670732,1.5963542,-1.0451638,1.7824353,1.1313423,1.3675681,0.21629442
3,0,-0.94647384,0.2883862,1.0498586,0.78296363,0.74099636,1.0556376,-1.3627518,-1.6667968
4,0,-0.0398617,0.30515003,-0.15728833,0.43506536,-0.041252725,-0.41087112,-0.18234707,0.05790525
5,0,0.032718334,0.11327757,0.28804198,-1.8354467,-0.27946424,-0.13944644,-0.15771693,-0.08508718
6,0,0.10959829,0.21605419,-0.33066657,0.25042543,-0.9536558,-0.0065090833,0.027320849,-0.1805255
7,0,-0.59993815,-1.1599298,-1.4905852,-0.9786024,-0.6935602,-1.443005,-1.0566425,-1.0786496
8,0,1.019917,-0.47195908,-0.08736445,1.3180631,0.2517603,-1.362607,-0.21864472,-1.8015944
9,0,0.68069,0.37289038,-0.24204518,0.32426965,0.45063418,0.37597358,0.6137839,0.19958334
10,0,-2.8421605,0.7078788,-0.12361984,1.001561,-0.43252835,0.32860672,0.71880406,-0.42496005
11,0,0.44647974,-2.1882772,-0.35685995,-0.42018867,0.4358636,0.2576086,-0.7914912,-0.8901074
12,0,-0.51318324,0.15301192,1.720893,0.4670803,-0.1873225,-0.17686608,1.1888605,0.56602323
13,0,-1.6294242,0.48350707,-1.2846801,0.26855153,-0.9652382,-0.81992286,0.28865054,-0.21094753
14,0,0.33335382,0.1033021,0.3469792,0.12568444,0.12975132,0.35866928,-0.3564644,-1.0545329
15,0,-0.45014685,0.51130486,-0.6548163,-1.6097329,-1.0641645,0.16603822,-0.35550418,-0.2781106
16,0,-1.3766705,-0.82095236,-0.048890874,-1.6834846,-0.29204068,-0.5522371,0.3135837,0.24874932
17,1,-2.3006775,-0.7864896,-0.8916838,0.34126204,-2.1348045,-1.144938,0.71816736,0.15351693
18,0,0.035091043,1.4437375,0.26049358,-1.1783645,-1.1146312,0.22829826,-0.5687503,0.34634787
19,0,0.30620658,0.6981382,0.11287305,1.5788499,1.1287073,0.3384869,-1.8607289,-0.7187264
20,0,0.47544885,-0.30661973,-0.17986555,-0.4507528,0.19059992,-0.025745152,-1.2079849,-0.13057183
21,0,0.763338,1.2625293,-0.33726874,-0.4832818,-0.07415631,0.38279718,-0.5818854,-1.3987203
22,0,-0.5913365,-0.032393664,-0.16426629,0.43219465,0.3997255,-1.4801792,-0.4860014,-0.28059897
23,0,-0.47768697,0.080890834,-0.9104181,-0.80809397,-2.1421735,-0.8470639,0.9951042,-0.10533859
24,0,0.5210921,-0.17527065,-0.1751055,-1.8883938,-0.047887024,0.7128833,0.6926601,-1.0836008
25,0,0.2212655,0.5433214,-0.26783502,-0.25350538,0.07124273,0.21397927,0.90316594,0.1239133
26,0,0.48118222,2.1065807,-0.45335668,0.030963246,-0.10818278,-1.1644444,-1.2830529,-1.1944398
27,0,-0.44376007,1.0436249,1.2723699,-0.75036937,-1.0616386,-0.5111402,0.030321905,0.103135355
28,0,-1.8039546,-0.070197605,0.5650011,-1.4975305,-1.3935165,-1.6629256,1.5312855,0.38368273
29,0,-0.70682627,0.44539475,-0.27475646,0.7857599,-0.9610584,-0.8254916,-0.015896903,-0.69225794
30,0,1.356978,-1.1529022,-0.08862453,0.15258409,0.78607017,0.6241203,0.21566461,-0.45887336
31,0,-1.0843645,-1.1334968,-0.273314,-1.5764514,-0.022635946,0.47614825,-1.3324702,-1.1375213
32,0,-0.50746393,0.24898472,0.004831293,-1.1163933,0.16935037,-0.014521419,0.24898466,-0.088472165
33,0,-2.0931542,1.142836,-0.7708944,-0.38529587,-0.96073645,-0.14201833,-1.3965187,-1.5339642
34,0,-0.007312492,2.1957626,-0.33537066,1.8832433,-1.5633488,-0.14209895,-0.31867,-0.9635083
35,0,1.1417985,-0.28807986,-0.41743597,-2.1601827,0.26050842,-0.6859406,0.67295945,-1.1240022
36,0,0.013343751,-0.84818023,-1.6978483,0.96057045,-0.8770083,-0.22950481,-0.3394104,-0.4926508
37,0,-0.122571334,0.99198383,-0.50530845,0.9952248,-1.5112133,0.37098527,1.158792,0.56241935
38,0,0.22130576,0.30459636,1.533829,0.6022939,0.45756668,0.42235154,0.94758034,0.5078919
39,0,-0.24585691,-0.16366786,-1.1846721,0.5999961,-0.85066897,-1.2212796,1.0890899,-0.28149506
40,0,0.43974292,-0.3037368,-0.008105921,-0.06073315,0.048267443,0.3556334,-1.4900382,-0.5506157
41,0,-0.6718473,0.84460723,0.90764177,-1.1479504,-1.0537393,-0.9360627,0.1857264,0.043240488
42,0,0.041145455,-0.53814834,0.5452783,-1.3944707,0.29431698,-1.4639285,1.1083543,-0.5764454
43,0,1.1654872,-0.79494125,1.3320903,0.09431957,1.2197083,2.6350303,-1.5363641,-1.0417949
44,0,0.05789417,0.3822452,-0.7786983,-0.09496337,-0.26767516,-1.2142872,-0.36474138,-1.9180956
45,0,0.30500713,-0.28909096,-0.1803698,-1.1028289,-0.13125329,0.45176107,-0.1617723,-0.94583476
46,0,1.2377279,0.7777421,-0.11607078,-0.40046105,0.92541564,0.95281714,-0.07164665,-0.7499968
47,0,-0.7414514,-1.2612824,-0.27557203,-0.3902026,-0.045636635,0.7305616,-0.5492337,0.056574743
48,0,1.7619313,0.23837104,1.096727,-0.8847147,1.5110248,0.46961236,-0.115787484,0.17685354
49,0,-1.369361,0.96651673,-0.5699288,-0.71117383,-0.46727386,-0.07242248,-0.7106536,-0.27650914
50,0,0.59244573,0.60970485,0.91987985,-0.50711256,1.8314068,0.84566283,-1.392144,0.19856901
51,0,-1.6245713,0.34782133,0.2845367,-0.6499302,-1.28909,-0.7043075,-0.5754836,0.12310778
52,0,-0.93554324,-0.68977886,-0.099261835,-0.04990164,-0.57680196,-2.1197293,-1.1053238,-1.1323893
53,0,-0.66167045,1.5193017,0.6584986,1.091871,-0.7148458,-0.5032088,0.43834868,-0.8237846
54,0,-1.4009677,0.18615182,-1.7970712,-0.37092453,-1.4569614,0.42012724,-0.52874845,-0.935986
55,0,2.2446146,0.02895565,0.7781487,2.059332,0.51953214,1.5947626,0.614428,0.07345986
56,0,1.1652508,0.38302156,-0.20473953,1.1071781,0.11433071,1.0547289,0.19672889,-0.5461211
57,0,-0.75626236,-1.265121,-0.8230645,-2.382365,-0.6992296,-0.12698093,-0.7580009,-0.28822505
58,0,-0.02650631,-1.1593739,1.2685193,-0.36918455,0.993098,0.28786492,0.7508324,-1.429995
59,1,0.49080023,0.80170417,0.32566914,1.0523664,0.92089516,0.06263462,0.7378315,-1.8511319
60,0,-1.0828494,-2.0157137,-1.5471227,0.29141268,-0.5568506,0.11183719,-1.8493348,-0.40175053
61,0,1.3514786,-0.52155864,-0.08841951,-1.2879305,0.31636348,0.36577973,-0.46255544,0.18692483
62,0,-0.47470152,-2.2150214,-0.7284799,-0.21181354,-0.39213535,-1.4471701,-0.050562825,-1.4866207
63,0,0.1990707,0.7547671,-0.52475184,-1.43041,-0.11108832,0.76633185,-0.44685227,-0.2784044
